# Time (days)	Flux	Error
-0.001790	0.998123	0.002244
0.022179	0.995375	0.002812
0.042858	1.001958	0.002003
0.062512	1.006094	0.002620
0.085308	1.004327	0.001882
0.104847	1.006923	0.002530
0.124254	1.008076	0.002079
0.145390	1.009089	0.002050
0.165549	1.009690	0.002244
0.186930	1.014041	0.002617
0.206272	1.014825	0.002073
0.227911	1.014598	0.002753
0.251693	1.015849	0.002606
0.270995	1.017311	0.002098
0.289026	1.018708	0.001909
0.312056	1.016936	0.002024
0.333999	1.019092	0.002304
0.353246	1.021779	0.002199
0.374878	1.024509	0.002602
0.394316	1.021010	0.002182
0.417248	1.024475	0.002599
0.436809	1.026548	0.002699
0.457829	1.024033	0.002000
0.480321	1.024893	0.002193
0.501386	1.023810	0.002738
0.521925	1.027126	0.002594
0.543086	1.025018	0.002716
0.563113	1.024970	0.002339
0.583742	1.024718	0.002315
0.604081	1.027533	0.002381
0.625517	1.032059	0.002791
0.646215	1.028216	0.002280
0.665714	1.027197	0.002383
0.688440	1.026567	0.002542
0.709652	1.026035	0.001905
0.728918	1.024332	0.002496
0.751838	1.022539	0.002048
0.772275	1.025640	0.002504
0.793166	1.024930	0.002761
0.813721	1.022178	0.002164
0.835451	1.024537	0.002747
0.853552	1.020396	0.002299
0.874989	1.022975	0.002097
0.895858	1.022150	0.002108
0.916467	1.020686	0.002543
0.938267	1.021865	0.002407
0.959054	1.023212	0.002685
0.980347	1.017193	0.002123
1.001800	1.017505	0.002221
1.022069	1.018931	0.002014
1.043664	1.016802	0.002441
1.064107	1.016229	0.002117
1.085783	1.011503	0.002467
1.104353	1.011070	0.002544
1.127010	1.009560	0.002096
1.148261	1.014594	0.002518
1.168263	1.011370	0.002423
1.186894	1.016255	0.002336
1.208397	1.012691	0.002534
1.231242	1.012242	0.002373
1.250803	1.011495	0.002567
1.271208	1.010485	0.002220
1.292122	1.009029	0.002556
1.313309	1.008494	0.002733
1.334427	1.005960	0.002202
1.353919	1.008652	0.002736
1.374651	1.010161	0.002589
1.398270	1.007703	0.001951
1.418539	1.009864	0.002011
1.437855	1.004664	0.002450
1.459193	1.009247	0.002066
1.481972	1.011296	0.002578
