# Time (days)	Flux	Error
0.000047	1.000820	0.000506
0.020765	1.000896	0.000563
0.041690	1.002443	0.000542
0.062534	1.003253	0.000599
0.083436	1.005643	0.000470
0.104209	1.006483	0.000535
0.125220	1.007727	0.000486
0.146000	1.008600	0.000456
0.166888	1.010250	0.000596
0.187559	1.010577	0.000488
0.208457	1.012886	0.000606
0.229397	1.014007	0.000559
0.250038	1.015091	0.000540
0.271015	1.015668	0.000558
0.291778	1.016602	0.000544
0.312721	1.017583	0.000451
0.333443	1.019458	0.000436
0.354369	1.020326	0.000542
0.375153	1.019954	0.000593
0.395939	1.021207	0.000496
0.416735	1.021867	0.000606
0.437520	1.022276	0.000428
0.458597	1.023141	0.000504
0.479229	1.023741	0.000424
0.500185	1.024385	0.000579
0.521031	1.024675	0.000595
0.542049	1.024484	0.000554
0.562700	1.025623	0.000582
0.583408	1.025987	0.000528
0.604404	1.025686	0.000466
0.625316	1.026334	0.000582
0.646165	1.025664	0.000414
0.666814	1.025705	0.000535
0.687715	1.026442	0.000430
0.708547	1.025006	0.000523
0.729442	1.025035	0.000584
0.750231	1.024997	0.000578
0.771151	1.025257	0.000579
0.792014	1.025458	0.000593
0.812865	1.025241	0.000445
0.833764	1.023271	0.000460
0.854459	1.023428	0.000539
0.875276	1.022955	0.000455
0.896003	1.021908	0.000540
0.917038	1.020741	0.000474
0.937900	1.020207	0.000493
0.958708	1.019489	0.000610
0.979728	1.019408	0.000597
1.000438	1.018343	0.000506
1.021449	1.016627	0.000416
1.042104	1.016075	0.000548
1.062747	1.014633	0.000417
1.083818	1.014622	0.000513
1.104527	1.013236	0.000498
1.125479	1.012146	0.000609
1.146380	1.010898	0.000581
1.166925	1.009723	0.000601
1.187951	1.008711	0.000552
1.208839	1.008030	0.000489
1.229615	1.006503	0.000511
1.250513	1.005594	0.000593
1.271295	1.004933	0.000577
1.292202	1.003692	0.000481
1.313158	1.002990	0.000473
1.333976	1.000707	0.000421
1.354807	1.000043	0.000582
1.375581	0.999056	0.000432
1.396478	0.997824	0.000540
1.417354	0.996637	0.000615
1.438021	0.995519	0.000531
1.458861	0.994787	0.000451
1.479733	0.993457	0.000539
1.500856	0.993030	0.000487
1.521582	0.992356	0.000596
1.542346	0.990864	0.000456
1.563167	0.990322	0.000493
1.584097	0.989859	0.000598
1.604923	0.989144	0.000480
1.625675	0.988965	0.000459
1.646599	0.987299	0.000585
1.667213	0.986297	0.000576
1.688099	0.985755	0.000496
1.709031	0.985987	0.000551
1.730087	0.985164	0.000545
1.750848	0.983781	0.000446
1.771505	0.984343	0.000484
1.792457	0.983204	0.000499
1.813446	0.983311	0.000582
1.833967	0.983167	0.000438
1.855010	0.982219	0.000586
1.875670	0.982081	0.000580
1.896760	0.981946	0.000568
1.917523	0.982323	0.000592
1.938371	0.982369	0.000570
1.959053	0.982465	0.000477
1.979893	0.981520	0.000487
2.000957	0.982031	0.000418
2.021638	0.981034	0.000607
2.042547	0.982727	0.000505
2.063307	0.982372	0.000425
2.084295	0.982172	0.000446
2.105062	0.982641	0.000565
2.125802	0.982662	0.000601
2.147043	0.982996	0.000553
2.167614	0.984301	0.000522
2.188436	0.983531	0.000433
2.209230	0.984253	0.000546
2.230077	0.984738	0.000456
2.250941	0.985401	0.000455
2.271688	0.984877	0.000513
2.292634	0.986234	0.000421
2.313537	0.986650	0.000605
2.334449	0.987077	0.000536
2.355218	0.987380	0.000563
2.376019	0.987269	0.000540
2.396728	0.989019	0.000521
2.417717	0.988885	0.000519
2.438651	0.989429	0.000479
