# Time (days)	Flux	Error
0.000000	1.008486	0.001916
0.020417	1.004881	0.001345
0.040833	0.997149	0.002048
0.061250	1.001670	0.002080
0.081667	1.010340	0.002067
0.102083	0.996015	0.002903
0.122500	1.014406	0.001698
0.142917	0.990258	0.002765
0.163333	0.989541	0.001837
0.183750	0.999225	0.001456
0.204167	0.987265	0.001510
0.224583	0.996352	0.001841
0.245000	1.013235	0.001566
0.265417	1.000424	0.002236
0.285833	0.989989	0.002812
0.306250	1.000487	0.002448
0.326667	0.983821	0.001921
0.347083	1.019236	0.001541
0.367500	1.005163	0.002891
0.387917	0.996476	0.001822
0.408333	0.996763	0.001284
0.428750	1.001901	0.002700
0.449167	0.992586	0.001167
0.469583	0.990527	0.002504
0.490000	0.988241	0.001534
0.510417	1.005770	0.002037
0.530833	1.003136	0.001484
0.551250	1.009467	0.001249
0.571667	0.992157	0.002454
0.592083	1.001360	0.002731
0.612500	0.985335	0.001397
0.632917	0.995908	0.002318
0.653333	1.000612	0.001488
0.673750	0.993711	0.001550
0.694167	0.991530	0.001132
0.714583	1.001092	0.001951
0.735000	1.008672	0.002939
0.755417	1.000372	0.002792
0.775833	1.001198	0.001262
0.796250	1.007907	0.001212
0.816667	0.999572	0.001909
0.837083	0.992635	0.002229
0.857500	0.994764	0.001441
0.877917	0.994020	0.001489
0.898333	0.992725	0.001584
0.918750	0.996460	0.002881
0.939167	1.000871	0.001309
0.959583	0.999187	0.001206
0.980000	0.999964	0.002776
1.000417	1.009319	0.001766
1.020833	1.018338	0.002671
1.041250	0.998254	0.002705
1.061667	0.998383	0.002332
1.082083	0.997855	0.002285
1.102500	0.992246	0.001146
1.122917	0.994085	0.002384
1.143333	1.001705	0.002285
1.163750	1.002228	0.002370
1.184167	1.006142	0.002324
1.204583	1.022228	0.002589
1.225000	0.992189	0.002605
1.245417	0.993814	0.001102
1.265833	0.995128	0.001122
1.286250	1.002346	0.001939
1.306667	1.006133	0.001440
1.327083	1.006687	0.002392
1.347500	1.001829	0.001832
1.367917	0.994167	0.002401
1.388333	0.993648	0.001585
1.408750	0.995933	0.001173
1.429167	0.998034	0.001703
1.449583	0.997012	0.001086
1.470000	0.986590	0.002616
1.490417	1.007868	0.002783
1.510833	1.005202	0.001905
1.531250	0.985292	0.001915
1.551667	1.012967	0.002347
1.572083	1.008864	0.002457
1.592500	0.995841	0.002327
1.612917	1.006971	0.002359
1.633333	0.991859	0.002782
1.653750	1.007516	0.001957
1.674167	0.992529	0.002564
1.694583	1.002663	0.002297
1.715000	0.990457	0.002204
1.735417	0.995116	0.002202
1.755833	1.008394	0.002018
1.776250	0.996334	0.001338
1.796667	0.987812	0.001972
1.817083	1.003807	0.001392
1.837500	1.001987	0.001395
1.857917	0.990897	0.001501
1.878333	0.998556	0.002077
1.898750	0.989502	0.001436
1.919167	1.007167	0.002321
1.939583	0.985734	0.002777
1.960000	0.999558	0.001789
1.980417	1.016268	0.001097
2.000833	0.993937	0.001692
2.021250	0.993676	0.002878
2.041667	1.001332	0.002285
2.062083	0.995378	0.001208
2.082500	1.008903	0.002338
2.102917	0.996944	0.001754
2.123333	1.004612	0.002308
2.143750	1.005219	0.002162
2.164167	1.011463	0.001376
2.184583	0.993030	0.001921
2.205000	0.997729	0.002536
2.225417	1.009969	0.002385
2.245833	0.996992	0.002843
2.266250	1.003993	0.002642
2.286667	1.012176	0.002459
2.307083	1.007477	0.001828
2.327500	1.003360	0.001029
2.347917	1.003056	0.002692
2.368333	0.992264	0.001195
2.388750	1.007302	0.001130
2.409167	1.002050	0.001503
2.429583	0.994470	0.001797
2.450000	0.997413	0.001929
2.470417	1.010250	0.002396
2.490833	1.000421	0.001628
2.511250	1.006546	0.001586
2.531667	0.999848	0.002878
2.552083	1.000161	0.002828
2.572500	0.986715	0.002978
2.592917	0.999230	0.001380
2.613333	1.003197	0.001411
2.633750	0.994719	0.002059
2.654167	0.994375	0.001975
2.674583	0.999743	0.001756
2.695000	0.988351	0.001794
2.715417	1.002734	0.001109
2.735833	1.008721	0.001923
2.756250	1.000831	0.002550
2.776667	1.003511	0.002061
2.797083	1.000812	0.002640
2.817500	1.008744	0.001751
2.837917	0.991304	0.001944
2.858333	0.994606	0.002788
2.878750	1.007156	0.001189
2.899167	1.006104	0.001762
2.919583	0.989926	0.001055
2.940000	1.013053	0.002100
2.960417	1.008932	0.002431
2.980833	1.006684	0.002351
3.001250	1.011328	0.002723
3.021667	0.999809	0.002453
3.042083	0.985698	0.001469
3.062500	0.994229	0.001748
3.082917	1.018992	0.002082
3.103333	0.996108	0.002673
3.123750	1.001805	0.002672
3.144167	1.002813	0.001786
3.164583	0.991110	0.001931
3.185000	0.996989	0.002138
3.205417	1.000808	0.001321
3.225833	1.006645	0.002489
3.246250	1.001057	0.002303
3.266667	1.002129	0.001240
3.287083	1.000443	0.001227
3.307500	1.011270	0.001739
3.327917	0.994292	0.002024
3.348333	0.995885	0.002905
3.368750	0.998303	0.001700
3.389167	0.998612	0.002948
3.409583	1.004993	0.001636
3.430000	1.000587	0.002721
3.450417	1.006488	0.002247
3.470833	0.999598	0.001966
3.491250	1.003634	0.002749
3.511667	1.007318	0.001259
3.532083	0.996640	0.001142
3.552500	0.998920	0.001085
3.572917	0.987633	0.001993
3.593333	0.995724	0.001111
3.613750	0.987400	0.002370
3.634167	1.000944	0.002078
3.654583	1.001453	0.002569
3.675000	0.999759	0.001777
3.695417	1.000925	0.001785
3.715833	0.996300	0.001113
3.736250	0.988875	0.002094
3.756667	0.996141	0.002325
3.777083	0.998310	0.002347
3.797500	1.007442	0.002687
3.817917	0.981948	0.001239
3.838333	0.995479	0.002175
3.858750	0.999565	0.002186
3.879167	0.996313	0.002195
3.899583	1.015827	0.002068
3.920000	1.004125	0.002770
3.940417	0.990601	0.002162
3.960833	1.004438	0.001163
3.981250	0.986411	0.002718
4.001667	1.007970	0.002782
4.022083	1.006784	0.001310
4.042500	1.003085	0.001514
4.062917	1.001734	0.001121
4.083333	1.002464	0.001276
4.103750	1.003492	0.002960
4.124167	0.997623	0.002478
4.144583	1.004542	0.001628
4.165000	1.005766	0.002564
4.185417	0.999797	0.002709
4.205833	0.993900	0.002323
4.226250	0.996302	0.002661
4.246667	0.990903	0.001483
4.267083	1.015438	0.001018
4.287500	1.001604	0.002606
4.307917	0.996775	0.001379
4.328333	0.992780	0.001623
4.348750	0.994875	0.001968
4.369167	1.002978	0.002758
4.389583	1.003638	0.001941
4.410000	0.992272	0.002378
4.430417	1.001030	0.002534
4.450833	1.005420	0.002199
4.471250	0.998069	0.002283
4.491667	1.011813	0.002284
4.512083	0.999823	0.002990
4.532500	0.993392	0.002988
4.552917	0.993520	0.002338
4.573333	1.001098	0.002307
4.593750	1.000344	0.001868
4.614167	1.004432	0.002203
4.634583	1.000054	0.002711
4.655000	1.000608	0.002947
4.675417	0.995086	0.002045
4.695833	0.996086	0.002006
4.716250	0.999170	0.002930
4.736667	0.998750	0.001783
4.757083	1.001543	0.001615
4.777500	0.997497	0.002754
4.797917	0.988874	0.002421
4.818333	0.996197	0.002718
4.838750	1.008625	0.001854
4.859167	0.992080	0.001946
4.879583	1.001301	0.001147
4.900000	1.004538	0.002849
4.920417	1.003620	0.001204
4.940833	0.997666	0.002567
4.961250	0.989748	0.002861
4.981667	0.991242	0.001509
5.002083	0.996793	0.002887
5.022500	1.005378	0.002281
5.042917	1.003741	0.001899
5.063333	1.000992	0.001095
5.083750	0.988792	0.002638
5.104167	0.996257	0.001701
5.124583	0.993921	0.001685
5.145000	1.003610	0.001672
5.165417	1.006931	0.001681
5.185833	0.993459	0.001097
5.206250	0.988579	0.001065
5.226667	0.996801	0.002637
5.247083	0.986240	0.001770
5.267500	0.994705	0.002002
5.287917	0.992703	0.002484
5.308333	0.994853	0.001473
5.328750	0.994267	0.001535
5.349167	0.998382	0.001288
5.369583	1.000289	0.001248
5.390000	0.995110	0.001383
5.410417	1.009088	0.001116
5.430833	1.008917	0.002207
5.451250	1.002378	0.001072
5.471667	0.996287	0.002498
5.492083	1.008683	0.002513
5.512500	0.999354	0.002818
5.532917	1.006650	0.001017
5.553333	1.002143	0.002198
5.573750	1.015347	0.002583
5.594167	1.012270	0.002709
5.614583	1.011023	0.002251
5.635000	1.008261	0.001412
5.655417	1.000762	0.002028
5.675833	0.983209	0.002191
5.696250	0.990036	0.002080
5.716667	0.996787	0.002625
5.737083	0.996520	0.002900
5.757500	0.995911	0.002751
5.777917	0.993493	0.001993
5.798333	0.993077	0.002695
5.818750	0.994882	0.001234
5.839167	0.995493	0.002588
5.859583	0.997069	0.002577
5.880000	0.995146	0.001819
5.900417	1.007418	0.002209
5.920833	1.007570	0.002199
5.941250	0.990753	0.002890
5.961667	0.993903	0.001150
5.982083	1.004487	0.002183
6.002500	0.991448	0.002781
6.022917	0.993264	0.001570
6.043333	0.996613	0.001256
6.063750	0.996270	0.001829
6.084167	0.990453	0.001225
6.104583	1.001583	0.002512
6.125000	1.007605	0.002270
6.145417	1.000648	0.001198
6.165833	1.003717	0.001687
6.186250	0.993824	0.002733
6.206667	0.997696	0.002603
6.227083	1.008721	0.002998
6.247500	1.004762	0.001202
6.267917	0.999472	0.001028
6.288333	0.998038	0.002083
6.308750	0.992983	0.001773
6.329167	0.998663	0.001752
6.349583	0.984561	0.001637
6.370000	1.003037	0.002135
6.390417	1.013830	0.001969
6.410833	0.993888	0.002163
6.431250	1.003083	0.001911
6.451667	0.995352	0.001159
6.472083	0.998519	0.001806
6.492500	1.003458	0.001390
6.512917	1.008755	0.001752
6.533333	1.017111	0.002430
6.553750	1.003412	0.001744
6.574167	1.003829	0.001556
6.594583	0.998112	0.002744
6.615000	0.998867	0.001693
6.635417	0.998571	0.001376
6.655833	1.001828	0.002755
6.676250	1.004371	0.001504
6.696667	0.983267	0.001896
6.717083	0.986673	0.001430
6.737500	1.004519	0.002139
6.757917	1.000058	0.001081
6.778333	0.998705	0.001764
6.798750	1.001333	0.001759
6.819167	1.002876	0.002018
6.839583	0.998116	0.001576
6.860000	1.002088	0.002854
6.880417	0.995913	0.001409
6.900833	1.008947	0.001580
6.921250	0.991679	0.001563
6.941667	1.003351	0.001356
6.962083	0.992757	0.001591
6.982500	1.002652	0.001145
7.002917	0.978699	0.001372
7.023333	1.004988	0.001173
7.043750	1.008738	0.001457
7.064167	1.001685	0.001145
7.084583	0.998085	0.001437
7.105000	1.001615	0.002106
7.125417	1.014169	0.001636
7.145833	0.996265	0.001468
7.166250	1.006073	0.002662
7.186667	1.003358	0.002593
7.207083	0.996586	0.001830
7.227500	0.986596	0.001438
7.247917	0.992564	0.002452
7.268333	0.989028	0.002806
7.288750	1.000486	0.002202
7.309167	1.003967	0.001070
7.329583	1.006842	0.002547
7.350000	1.003399	0.001221
7.370417	0.999638	0.001281
7.390833	0.994570	0.002297
7.411250	1.001273	0.001316
7.431667	1.006667	0.002550
7.452083	0.999384	0.001296
7.472500	0.989884	0.002411
7.492917	1.001741	0.002968
7.513333	0.996146	0.001309
7.533750	0.998894	0.001542
7.554167	1.001376	0.002059
7.574583	1.001575	0.001396
7.595000	1.008425	0.001532
7.615417	1.001368	0.002265
7.635833	0.996424	0.001816
7.656250	1.004314	0.001030
7.676667	0.996013	0.001781
7.697083	1.002657	0.002233
7.717500	1.005974	0.002640
7.737917	0.993118	0.001653
7.758333	0.995550	0.002821
7.778750	1.005139	0.002840
7.799167	0.997015	0.001051
7.819583	1.005363	0.001225
7.840000	1.008732	0.002172
7.860417	0.996190	0.001024
7.880833	0.994549	0.002639
7.901250	0.999383	0.001898
7.921667	0.994872	0.001398
7.942083	0.999682	0.001253
7.962500	1.009459	0.001616
7.982917	0.991368	0.002141
8.003333	0.985699	0.001861
8.023750	1.003136	0.001832
8.044167	0.996430	0.001900
8.064583	0.991740	0.002280
8.085000	1.011054	0.001640
8.105417	0.988920	0.001041
8.125833	1.008258	0.001715
8.146250	0.999114	0.002525
8.166667	0.993057	0.001101
8.187083	1.002015	0.001818
8.207500	0.993922	0.002067
8.227917	1.005376	0.001225
8.248333	0.998736	0.001313
8.268750	1.003028	0.001605
8.289167	0.993036	0.002452
8.309583	0.997440	0.001772
8.330000	1.021069	0.002864
8.350417	0.990186	0.001306
8.370833	1.005529	0.001147
8.391250	1.001691	0.002626
8.411667	0.999670	0.001401
8.432083	0.996671	0.001865
8.452500	0.989296	0.001891
8.472917	1.004471	0.002426
8.493333	1.000019	0.002359
8.513750	1.007369	0.002975
8.534167	0.997436	0.001657
8.554583	1.009519	0.002089
8.575000	1.004166	0.001144
8.595417	1.001349	0.002121
8.615833	1.008619	0.001256
8.636250	1.007655	0.002724
8.656667	0.996056	0.001545
8.677083	0.991598	0.002729
8.697500	1.006375	0.002676
8.717917	1.002688	0.001949
8.738333	0.998950	0.002503
8.758750	0.988571	0.001569
8.779167	1.002510	0.002121
8.799583	0.992603	0.001334
8.820000	0.997917	0.002881
8.840417	0.996703	0.002262
8.860833	0.995040	0.002972
8.881250	1.005022	0.002020
8.901667	0.993903	0.001483
8.922083	1.005527	0.001410
8.942500	0.994844	0.001864
8.962917	0.992530	0.001207
8.983333	1.008010	0.002764
9.003750	1.000670	0.002104
9.024167	1.009243	0.001425
9.044583	1.004178	0.001882
9.065000	1.001954	0.001704
9.085417	1.010028	0.001512
9.105833	1.003475	0.002021
9.126250	0.998092	0.001438
9.146667	1.004043	0.002232
9.167083	1.005005	0.002668
9.187500	1.002715	0.001657
9.207917	0.992146	0.002989
9.228333	1.001881	0.002614
9.248750	1.001848	0.001988
9.269167	0.993226	0.001448
9.289583	1.001177	0.001427
9.310000	1.005279	0.001521
9.330417	1.004405	0.002449
9.350833	0.995236	0.001093
9.371250	1.012308	0.002927
9.391667	1.007314	0.002637
9.412083	1.003390	0.002890
9.432500	0.996893	0.001869
9.452917	0.987690	0.001883
9.473333	0.990392	0.001104
9.493750	1.006141	0.001117
9.514167	0.997797	0.001613
9.534583	0.996816	0.001349
9.555000	1.004671	0.002482
9.575417	1.010675	0.002827
9.595833	0.999764	0.001956
9.616250	1.007961	0.001962
9.636667	0.990795	0.002351
9.657083	0.981082	0.002075
9.677500	0.988614	0.001684
9.697917	1.000910	0.001026
9.718333	1.016841	0.002789
9.738750	1.005643	0.001768
9.759167	0.989109	0.002721
9.779583	0.997880	0.002888
9.800000	1.002864	0.002048
9.820417	0.994471	0.001104
9.840833	1.002540	0.002835
9.861250	0.994822	0.002144
9.881667	1.002025	0.001235
9.902083	1.005289	0.001520
9.922500	1.000737	0.001822
9.942917	1.011220	0.002603
9.963333	1.004012	0.001963
9.983750	1.014267	0.001366
10.004167	0.999965	0.002350
10.024583	0.998886	0.001010
10.045000	1.004887	0.001260
10.065417	0.993459	0.001819
10.085833	1.002895	0.002586
10.106250	1.002976	0.001557
10.126667	0.990420	0.002171
10.147083	1.012301	0.001372
10.167500	1.001407	0.001355
10.187917	1.001787	0.001255
10.208333	1.007263	0.001849
10.228750	1.002798	0.001722
10.249167	0.997208	0.002612
10.269583	1.001762	0.001386
10.290000	0.993888	0.002223
10.310417	1.000644	0.001799
10.330833	1.005130	0.002560
10.351250	0.996313	0.001117
10.371667	1.003621	0.001317
10.392083	1.003282	0.002245
10.412500	0.995614	0.001664
10.432917	1.008310	0.001634
10.453333	1.010362	0.002715
10.473750	0.996136	0.002971
10.494167	1.004229	0.002279
10.514583	0.993050	0.001767
10.535000	0.999049	0.001067
10.555417	1.000876	0.001168
10.575833	0.990436	0.001219
10.596250	1.006309	0.001337
10.616667	1.012187	0.002251
10.637083	1.001176	0.002295
10.657500	1.005829	0.001110
10.677917	0.991427	0.001502
10.698333	1.005712	0.001383
10.718750	0.994456	0.002769
10.739167	0.999655	0.001725
10.759583	0.997174	0.001297
10.780000	1.007501	0.001886
10.800417	1.000177	0.002068
10.820833	1.007148	0.001544
10.841250	1.004794	0.001458
10.861667	1.004033	0.002250
10.882083	0.992078	0.002038
10.902500	0.995440	0.001118
10.922917	1.006907	0.001225
10.943333	1.002932	0.002037
10.963750	1.006923	0.002916
10.984167	1.000722	0.002498
11.004583	1.006295	0.002861
11.025000	0.997723	0.001608
11.045417	0.993782	0.001168
11.065833	1.000373	0.001448
11.086250	0.998086	0.002829
11.106667	1.001832	0.002783
11.127083	1.009526	0.001918
11.147500	1.001948	0.002173
11.167917	0.999447	0.001379
11.188333	0.998276	0.002265
11.208750	0.997050	0.002335
11.229167	1.003455	0.002721
11.249583	0.990486	0.001801
11.270000	1.009884	0.001709
11.290417	0.998878	0.002131
11.310833	1.010675	0.002535
11.331250	0.994819	0.001251
11.351667	0.988830	0.002152
11.372083	0.999597	0.001137
11.392500	0.994714	0.001026
11.412917	0.997061	0.001066
11.433333	1.013326	0.001125
11.453750	0.994725	0.002096
11.474167	1.006820	0.001784
11.494583	1.000145	0.001860
11.515000	1.000143	0.002970
11.535417	0.996763	0.001308
11.555833	0.996232	0.002014
11.576250	1.008447	0.002382
11.596667	1.017718	0.001461
11.617083	0.982752	0.002615
11.637500	1.011084	0.001838
11.657917	0.997443	0.001084
11.678333	0.995463	0.001364
11.698750	1.003757	0.001936
11.719167	0.989242	0.002236
11.739583	1.001704	0.001363
11.760000	0.997094	0.002164
11.780417	0.996398	0.001991
11.800833	0.993149	0.002803
11.821250	0.987493	0.002658
11.841667	0.991284	0.001074
11.862083	1.017560	0.002377
11.882500	1.001528	0.001393
11.902917	0.998566	0.002985
11.923333	0.997220	0.002251
11.943750	0.987377	0.002900
11.964167	1.007661	0.002974
11.984583	0.992307	0.001050
12.005000	1.011582	0.001173
12.025417	0.995984	0.002358
12.045833	0.996844	0.002750
12.066250	0.992877	0.001567
12.086667	1.000782	0.001783
12.107083	0.987621	0.001421
12.127500	1.001968	0.001296
12.147917	0.995030	0.002838
12.168333	1.007612	0.001374
12.188750	1.001717	0.002378
12.209167	1.002881	0.002634
12.229583	0.987825	0.001473
12.250000	0.989775	0.001362
12.270417	0.994888	0.002512
12.290833	0.999907	0.002087
12.311250	1.001212	0.001500
12.331667	1.002935	0.002015
12.352083	1.003812	0.002247
12.372500	1.007655	0.001053
12.392917	0.991000	0.001025
12.413333	0.997734	0.001753
12.433750	0.995543	0.002752
12.454167	0.976329	0.001401
12.474583	1.004317	0.002841
12.495000	0.993817	0.001170
12.515417	1.007708	0.002850
12.535833	1.000459	0.002920
12.556250	0.997283	0.002863
12.576667	0.998084	0.001582
12.597083	1.007897	0.001290
12.617500	0.997558	0.001945
12.637917	0.996644	0.002563
12.658333	0.990303	0.002077
12.678750	0.991381	0.001647
12.699167	1.008283	0.002039
12.719583	0.994964	0.002478
12.740000	1.008915	0.002196
12.760417	0.997744	0.002231
12.780833	1.008135	0.002190
12.801250	0.997094	0.002344
12.821667	1.003593	0.002564
12.842083	0.987474	0.001817
12.862500	1.006255	0.001057
12.882917	0.992466	0.002753
12.903333	1.009199	0.002060
12.923750	1.007729	0.001957
12.944167	1.006078	0.002100
12.964583	1.009380	0.002279
12.985000	0.991321	0.001329
13.005417	1.007968	0.002400
13.025833	1.001935	0.001187
13.046250	0.997814	0.002709
13.066667	0.997913	0.001411
13.087083	1.020663	0.002471
13.107500	1.010534	0.002722
13.127917	1.006907	0.002043
13.148333	1.010990	0.002490
13.168750	1.004187	0.001055
13.189167	1.002221	0.002960
13.209583	0.990843	0.002787
13.230000	1.011245	0.001007
13.250417	0.992812	0.002030
13.270833	0.993757	0.001859
13.291250	0.995367	0.001086
13.311667	1.003391	0.002959
13.332083	0.988378	0.002843
13.352500	1.009547	0.002253
13.372917	1.004282	0.002594
13.393333	1.005478	0.002556
13.413750	0.993447	0.002135
13.434167	1.007290	0.002934
13.454583	0.991548	0.001380
13.475000	0.998391	0.002812
13.495417	0.991048	0.002512
13.515833	1.003938	0.002880
13.536250	0.993608	0.001255
13.556667	0.992317	0.001048
13.577083	0.998644	0.001608
13.597500	1.004742	0.001786
13.617917	1.004235	0.002878
13.638333	0.993624	0.001846
13.658750	0.999580	0.001431
13.679167	0.994064	0.001715
13.699583	0.993468	0.001370
13.720000	0.995557	0.001203
13.740417	1.006110	0.002686
13.760833	0.999833	0.002904
13.781250	0.999543	0.002675
13.801667	0.996822	0.002615
13.822083	0.998178	0.002760
13.842500	0.994669	0.002209
13.862917	0.998128	0.002230
13.883333	1.004776	0.001174
13.903750	1.002525	0.001820
13.924167	1.008316	0.002983
13.944583	1.006207	0.001535
13.965000	1.008893	0.002338
13.985417	0.993456	0.001162
14.005833	1.009452	0.002613
14.026250	1.008838	0.002629
14.046667	1.000953	0.002112
14.067083	1.012333	0.001309
14.087500	1.001609	0.001514
14.107917	0.999724	0.002766
14.128333	0.997419	0.002706
14.148750	1.007662	0.001055
14.169167	1.001189	0.001231
14.189583	0.998697	0.002429
14.210000	1.000073	0.001523
14.230417	0.991265	0.001166
14.250833	0.992457	0.001195
14.271250	1.010186	0.001799
14.291667	0.999281	0.001007
14.312083	0.994733	0.001396
14.332500	1.004746	0.001716
14.352917	0.993428	0.002092
14.373333	0.992243	0.001018
14.393750	0.997569	0.002036
14.414167	0.996743	0.001344
14.434583	0.996052	0.002025
14.455000	0.994377	0.001018
14.475417	0.996825	0.002734
14.495833	0.992104	0.002678
14.516250	1.000281	0.001109
14.536667	0.992371	0.002302
14.557083	0.995180	0.001470
14.577500	0.981509	0.002017
14.597917	1.004511	0.001127
14.618333	1.001087	0.002884
14.638750	0.994086	0.001319
14.659167	1.000461	0.002729
14.679583	1.003550	0.001344
14.700000	1.001545	0.002742
14.720417	1.007667	0.002002
14.740833	0.997780	0.001053
14.761250	0.986913	0.001516
14.781667	0.994920	0.002424
14.802083	0.989449	0.002230
14.822500	0.998254	0.001375
14.842917	1.010795	0.002506
14.863333	0.988611	0.001884
14.883750	0.996860	0.001293
14.904167	1.005992	0.001613
14.924583	0.996905	0.001707
14.945000	0.998895	0.002648
14.965417	1.000075	0.002691
14.985833	0.989222	0.001969
