# Time (days)	Flux	Error
0.000000	0.997622	0.002079
0.031250	0.994370	0.002144
0.062500	1.000928	0.001790
0.093750	1.002763	0.002444
0.125000	0.991252	0.002076
0.156250	0.994840	0.001273
0.187500	0.997695	0.001904
0.218750	1.004876	0.002349
0.250000	0.994124	0.002386
0.281250	0.993329	0.002117
0.312500	0.995982	0.001012
0.343750	0.992810	0.001224
0.375000	0.993008	0.002802
0.406250	1.020438	0.001911
0.437500	0.991849	0.001633
0.468750	0.995282	0.001873
0.500000	0.995456	0.001389
0.531250	1.000913	0.002087
0.562500	1.001584	0.002132
0.593750	1.001202	0.002885
0.625000	0.999810	0.002343
0.656250	1.017609	0.002451
0.687500	0.997333	0.001453
0.718750	1.003880	0.002021
0.750000	0.997547	0.002690
0.781250	0.994687	0.001392
0.812500	1.009312	0.001033
0.843750	1.001481	0.002187
0.875000	1.012385	0.001017
0.906250	1.010428	0.002260
0.937500	1.001107	0.001646
0.968750	0.997568	0.002852
1.000000	1.004908	0.001861
1.031250	0.989361	0.002525
1.062500	1.007240	0.002118
1.093750	1.014128	0.002717
1.125000	1.002538	0.001110
1.156250	1.011781	0.002305
1.187500	0.995438	0.002214
1.218750	0.996232	0.001017
1.250000	1.008290	0.002638
1.281250	0.990337	0.001370
1.312500	1.008134	0.001002
1.343750	0.991870	0.002777
1.375000	1.012428	0.001630
1.406250	0.987711	0.001186
1.437500	1.009396	0.001542
1.468750	1.009268	0.001263
1.500000	1.016817	0.001675
1.531250	1.017543	0.002341
1.562500	1.007442	0.002149
1.593750	1.014669	0.001401
1.625000	0.994757	0.002265
1.656250	1.018436	0.001138
1.687500	0.995520	0.001576
1.718750	0.992878	0.001351
1.750000	1.021405	0.001686
1.781250	1.007010	0.001161
1.812500	1.003842	0.001515
1.843750	0.998047	0.001278
1.875000	1.013166	0.001215
1.906250	1.010681	0.002469
1.937500	1.021378	0.002269
1.968750	1.015397	0.002898
2.000000	1.000514	0.001147
2.031250	1.016354	0.001005
2.062500	1.019900	0.002629
2.093750	1.013413	0.001017
2.125000	0.997384	0.001146
2.156250	1.014387	0.001096
2.187500	0.998845	0.002045
2.218750	1.004197	0.002055
2.250000	1.010474	0.001706
2.281250	1.010895	0.002402
2.312500	1.008985	0.002022
2.343750	1.001565	0.002732
2.375000	1.016895	0.002052
2.406250	1.012886	0.001496
2.437500	1.007375	0.001186
2.468750	1.010563	0.002776
2.500000	1.030304	0.001202
2.531250	0.997895	0.002114
2.562500	1.005691	0.001232
2.593750	1.007622	0.001512
2.625000	1.018897	0.002993
2.656250	1.017926	0.002894
2.687500	1.008771	0.001637
2.718750	1.013285	0.002107
2.750000	1.014248	0.002478
2.781250	1.002461	0.001968
2.812500	1.001463	0.002856
2.843750	1.006399	0.001685
2.875000	1.001062	0.002454
2.906250	1.007246	0.002425
2.937500	1.014302	0.002668
2.968750	1.020367	0.002218
3.000000	1.004379	0.001181
3.031250	1.018382	0.001816
3.062500	1.008219	0.002028
3.093750	1.006610	0.001119
3.125000	1.016401	0.002191
3.156250	1.011028	0.002392
3.187500	1.021931	0.001845
3.218750	1.018161	0.002269
3.250000	1.007616	0.002224
3.281250	1.008556	0.002441
3.312500	1.006954	0.002616
3.343750	1.028970	0.001806
3.375000	1.028589	0.002469
3.406250	1.008797	0.001657
3.437500	1.019384	0.001007
3.468750	0.999094	0.001038
3.500000	0.996198	0.001007
3.531250	1.020595	0.002779
3.562500	1.016612	0.002420
3.593750	1.024015	0.002317
3.625000	1.020808	0.002603
3.656250	1.007543	0.001727
3.687500	1.008321	0.001511
3.718750	1.015368	0.002018
3.750000	1.005042	0.001000
3.781250	1.017719	0.002306
3.812500	1.022004	0.001803
3.843750	1.014216	0.001885
3.875000	1.015423	0.002737
3.906250	1.014295	0.002205
3.937500	1.005269	0.001063
3.968750	1.009137	0.001742
4.000000	1.016435	0.001921
4.031250	1.017692	0.001117
4.062500	1.017208	0.002093
4.093750	1.014231	0.002366
4.125000	1.011785	0.001743
4.156250	1.005893	0.002329
4.187500	1.001209	0.001718
4.218750	1.012961	0.001538
4.250000	1.010960	0.001564
4.281250	1.019936	0.001580
4.312500	1.008864	0.002686
4.343750	1.017048	0.001975
4.375000	1.009265	0.001521
4.406250	0.996372	0.002433
4.437500	1.008452	0.002174
4.468750	1.024956	0.002442
4.500000	1.016767	0.001323
4.531250	1.019995	0.001978
4.562500	1.007917	0.002981
4.593750	1.007054	0.001846
4.625000	1.017657	0.002339
4.656250	1.025324	0.001558
4.687500	1.022260	0.002202
4.718750	1.015464	0.001891
4.750000	1.018784	0.002623
4.781250	1.003544	0.002455
4.812500	1.013025	0.002914
4.843750	1.013672	0.002779
4.875000	1.022956	0.001661
4.906250	1.022681	0.001688
