# Time (days)	Flux	Error
0.000000	0.990254	0.002776
0.083333	1.007497	0.002973
0.166667	1.011209	0.002821
0.250000	1.016992	0.002823
0.333333	1.037280	0.002143
0.416667	1.031300	0.001134
0.500000	1.033255	0.001762
0.583333	1.031858	0.002376
0.666667	1.042594	0.002818
0.750000	1.033929	0.002874
0.833333	1.005792	0.002046
0.916667	0.999838	0.001786
1.000000	0.997538	0.001615
1.083333	0.999792	0.001093
1.166667	0.977028	0.002156
1.250000	0.975873	0.002887
1.333333	0.960505	0.002933
1.416667	0.961080	0.001091
1.500000	0.967122	0.002453
1.583333	0.969912	0.001351
1.666667	0.964386	0.002750
1.750000	0.975618	0.002709
1.833333	0.986444	0.002281
1.916667	0.983099	0.001103
2.000000	0.998099	0.001261
2.083333	1.003133	0.002380
2.166667	1.019190	0.002873
2.250000	1.010127	0.001282
2.333333	1.025013	0.001638
2.416667	1.017482	0.001173
2.500000	1.019416	0.002093
2.583333	1.021534	0.002648
2.666667	1.026516	0.001294
2.750000	1.014255	0.002095
2.833333	1.009313	0.001643
2.916667	1.001732	0.001654
3.000000	0.992411	0.001275
3.083333	0.989375	0.001620
3.166667	0.986253	0.002582
3.250000	0.981571	0.001729
3.333333	0.976342	0.001769
3.416667	0.967841	0.001737
3.500000	0.963081	0.001430
3.583333	0.967477	0.001880
3.666667	0.963920	0.002147
3.750000	0.991957	0.002885
3.833333	0.998565	0.002799
3.916667	0.995271	0.001129
4.000000	1.006278	0.001073
4.083333	1.007413	0.002679
4.166667	1.002651	0.002788
4.250000	1.012725	0.001505
4.333333	1.028742	0.002294
4.416667	1.032396	0.002229
4.500000	1.037364	0.001449
4.583333	1.025092	0.001678
4.666667	1.017582	0.001137
4.750000	1.003837	0.002833
4.833333	0.996322	0.001009
4.916667	1.007020	0.001469
5.000000	0.991396	0.002930
5.083333	0.997646	0.002170
5.166667	0.977374	0.002635
5.250000	0.984889	0.001738
5.333333	0.985488	0.001497
5.416667	0.969462	0.002629
5.500000	0.980059	0.001165
5.583333	0.978688	0.002149
5.666667	0.988753	0.001096
5.750000	0.985864	0.001264
5.833333	0.998722	0.002885
5.916667	0.996971	0.002347
6.000000	1.000455	0.002010
6.083333	1.010956	0.002213
6.166667	1.012315	0.001991
6.250000	1.021239	0.001266
6.333333	1.015067	0.001908
6.416667	1.026102	0.001282
6.500000	1.000931	0.001215
6.583333	1.014194	0.002130
6.666667	1.002923	0.001993
6.750000	1.001125	0.001978
6.833333	0.997891	0.002503
6.916667	0.994155	0.001057
7.000000	0.983048	0.002419
7.083333	0.994636	0.002560
7.166667	0.986158	0.002908
7.250000	1.004142	0.001314
7.333333	0.979896	0.001579
7.416667	0.988144	0.001392
7.500000	0.984816	0.002893
7.583333	0.983813	0.002136
7.666667	1.005082	0.002483
7.750000	0.994860	0.002259
7.833333	0.998213	0.002642
7.916667	1.014858	0.002449
8.000000	1.001379	0.001148
8.083333	1.024330	0.002526
8.166667	1.009425	0.002808
8.250000	1.009028	0.002229
8.333333	1.014361	0.001920
8.416667	0.999814	0.002059
8.500000	0.997569	0.002288
8.583333	1.003340	0.002451
8.666667	0.990057	0.001859
8.750000	1.005106	0.002284
8.833333	0.998635	0.002219
8.916667	0.995511	0.002854
9.000000	0.990585	0.002610
9.083333	0.992205	0.001818
9.166667	0.999055	0.001895
9.250000	0.989843	0.002758
9.333333	0.977691	0.002753
9.416667	0.997868	0.001776
9.500000	0.982042	0.002982
9.583333	1.003556	0.002628
9.666667	1.001128	0.001483
9.750000	1.000281	0.001570
9.833333	1.001854	0.002912
9.916667	0.994109	0.001971
10.000000	1.018157	0.001951
10.083333	1.011100	0.002843
10.166667	1.013217	0.001948
10.250000	0.999558	0.002074
10.333333	0.999472	0.001945
10.416667	1.000018	0.001705
10.500000	1.001421	0.001324
10.583333	0.994863	0.002159
10.666667	1.000698	0.002784
10.750000	0.984936	0.002503
