# Star 1 - Telescope tess - Campaign 3
# Time Flux Error
# days relative_flux relative_error
0.007300 1.00329123 0.005483
0.090494 1.00819822 0.007569
0.098327 1.00469354 0.005337
0.116498 1.01798092 0.004250
0.183418 1.01387505 0.005719
0.198322 1.01091250 0.004938
0.200500 1.01605317 0.006908
0.204709 1.01795222 0.007251
0.206299 1.01733378 0.005586
0.235054 1.02299443 0.005725
0.282169 1.03099171 0.007470
0.289335 1.02164171 0.005092
0.342326 1.02365556 0.003519
0.343725 1.01432052 0.005757
0.345312 1.02732677 0.004309
0.363687 1.02809711 0.007793
0.398525 1.03146635 0.004602
0.406140 1.02028185 0.007530
0.454654 1.01144054 0.006676
0.460536 1.03183136 0.005013
0.471341 1.02380190 0.003891
0.503733 1.02512261 0.007404
0.602226 1.02535027 0.003004
0.620314 1.02203628 0.005422
0.620325 1.02027488 0.007891
0.631045 1.00157562 0.005093
0.638383 1.01875244 0.003430
0.647915 1.01928597 0.004156
0.649339 1.02541950 0.003977
0.680307 1.02281042 0.003530
0.704561 1.01345231 0.005304
0.710992 1.01435269 0.006476
0.712230 1.00633553 0.006848
0.718045 1.04973490 0.007217
0.721537 1.01300216 0.004450
0.726456 1.01762162 0.007915
0.754138 1.00925227 0.005905
0.763640 1.00917352 0.004625
0.814696 1.00769613 0.003712
0.843518 1.00892261 0.006825
0.858331 1.00676197 0.005439
0.869804 1.00667145 0.003675
0.974904 1.00819017 0.003752
1.007751 1.00448235 0.005013
1.033574 0.99822621 0.003239
1.035074 1.00623958 0.006917
1.036679 1.00064382 0.004021
1.044365 1.00143030 0.003903
1.053208 0.99660843 0.006818
1.096124 0.99865084 0.006125
1.098550 0.99898650 0.004872
1.126211 1.00495770 0.006199
1.139051 0.98820646 0.004243
1.184210 0.99991891 0.006271
1.195422 0.99576034 0.005980
1.222747 0.98796666 0.003504
1.306502 0.99091975 0.006924
1.326482 0.99805107 0.003322
1.339013 0.99823428 0.004134
1.420602 0.99790848 0.005175
1.443003 0.99846454 0.004936
1.471230 0.99658766 0.004846
1.494367 1.00818144 0.006798
1.495076 1.00466570 0.007274
1.504663 0.99756075 0.003762
1.509871 1.00024632 0.003546
1.521305 0.99939605 0.007001
1.558686 0.99702693 0.003139
1.636076 0.99631427 0.005787
1.648782 0.99015854 0.006708
1.650781 0.98900948 0.007360
1.674887 1.00204827 0.004710
1.680342 0.98705132 0.004830
1.703842 0.98801944 0.003944
1.733190 0.98168679 0.003884
1.797333 0.98346522 0.007165
1.809605 0.98545486 0.006014
1.819944 0.97795130 0.006113
1.821517 0.98325739 0.007863
1.823857 0.93036999 0.003098
1.868206 0.97656309 0.006484
1.890608 0.98129327 0.005641
1.901732 1.00399001 0.007466
1.930993 0.97927008 0.006937
1.936090 0.97764685 0.004097
1.946599 0.98070859 0.006085
1.977069 0.97659761 0.005930
1.978383 0.97273464 0.005160
1.978842 0.97435233 0.005671
2.001743 0.97182178 0.005968
2.044289 0.97184542 0.006764
2.090101 0.97723387 0.005406
2.093036 0.96360634 0.003386
2.099757 0.97448893 0.006014
2.101375 0.97482812 0.007941
2.109985 0.97570772 0.003421
2.131076 0.96798999 0.003455
2.178115 0.97293641 0.004928
2.179635 0.97783178 0.004285
2.179782 0.97271695 0.006963
2.182924 0.98577946 0.005887
2.205419 0.97791270 0.006922
2.205826 0.98296565 0.005087
2.219835 0.98442346 0.004525
2.263682 0.97759562 0.003546
2.276514 0.98430017 0.003164
2.300197 0.98268097 0.005167
2.300503 0.97101833 0.005381
2.309957 0.98398721 0.003163
2.333781 0.98387244 0.006655
2.334444 0.98080009 0.005409
2.348896 0.99087492 0.006842
2.362046 0.99051649 0.005732
2.429452 0.98525995 0.007667
2.436946 0.99683896 0.003445
2.462197 0.98354221 0.004218
2.462482 0.99701435 0.003543
2.478050 1.00528342 0.004943
2.501209 1.01013983 0.004874
2.557678 0.99545502 0.007494
2.568767 1.00790645 0.005479
2.592554 1.01575577 0.007499
2.607008 1.01409319 0.005454
2.645278 1.01691308 0.007513
2.669451 1.02021812 0.004248
2.670317 1.01925760 0.003845
2.691580 1.02633700 0.004202
2.723700 1.01668634 0.005602
2.748134 1.01209906 0.004012
2.795310 1.02573746 0.003725
2.819714 1.01893212 0.003847
2.862124 1.02917524 0.006517
2.868513 1.02212825 0.005373
2.868968 1.02863144 0.005537
2.877769 1.02948338 0.005312
2.886041 1.02473304 0.004307
2.898490 1.01495154 0.006628
2.938356 1.02905570 0.005235
2.948453 1.01668071 0.004589
2.976375 1.02605693 0.007362
2.992759 1.02014057 0.007530
2.994263 1.02724886 0.006144
3.001879 1.01869318 0.004482
3.008618 1.02287327 0.003218
3.011497 1.03127613 0.005436
3.017234 1.02617862 0.005136
3.022201 1.02267800 0.007831
3.036940 1.02127892 0.004884
3.037294 1.02614536 0.005142
3.041539 1.02730951 0.003044
3.080970 1.01676610 0.007267
3.164984 1.02345493 0.005926
3.170988 1.02214672 0.005469
3.172887 1.00713087 0.003337
3.173626 1.02949861 0.005497
3.207164 1.02186274 0.006276
3.300020 1.00798708 0.006594
3.306271 1.01336174 0.007401
3.322864 1.01365058 0.003895
3.342033 1.01478349 0.003104
3.355813 1.00478297 0.003166
3.372019 1.00904124 0.007958
3.380364 1.00341442 0.005678
3.411269 1.00336216 0.007112
3.416783 1.00602841 0.007471
3.422159 1.00960226 0.005387
3.444137 1.11046062 0.007841
3.468046 1.00495114 0.005851
3.482833 1.00106043 0.007204
3.487265 0.98753854 0.007792
3.491160 1.00508565 0.006269
3.530959 1.00040590 0.003394
3.540408 1.00420369 0.005446
3.572199 0.99481061 0.005729
3.641645 0.99765792 0.004527
3.651209 1.00588955 0.007910
3.652060 0.99465303 0.007330
3.658377 1.01373861 0.007292
3.670836 1.00104544 0.006789
3.676154 1.00052298 0.007318
3.732563 0.98863114 0.006324
3.776939 1.00774960 0.003028
3.782268 1.00163903 0.003621
3.851972 0.99541571 0.003165
3.858582 1.00223862 0.007732
3.972863 0.99570702 0.005475
3.973375 0.99821004 0.004909
3.974427 0.99450315 0.004249
4.013851 0.99768698 0.005581
4.042743 0.99993107 0.006416
4.051330 1.00042792 0.005933
4.054076 0.98569855 0.003937
4.106874 0.99636287 0.006155
4.126082 0.99008544 0.004024
4.177555 0.98937052 0.007667
4.222139 0.99586960 0.007353
4.287441 0.98105497 0.007785
