# Star 3 - Telescope hubble - Campaign 2
# Time Flux Error
# days relative_flux relative_error
0.009208 0.99957990 0.006253
0.029585 1.00649978 0.006709
0.031811 1.00328465 0.004456
0.143909 1.00235052 0.003294
0.166549 1.00066656 0.005339
0.205978 1.01887532 0.005681
0.208970 1.00630689 0.004826
0.214403 1.01568136 0.006749
0.215091 1.00402888 0.005944
0.215522 1.01027547 0.006287
0.227509 1.00956018 0.006075
0.241670 1.00185450 0.004952
0.284058 1.00935121 0.004558
0.303446 1.00668466 0.003045
0.372266 1.00645909 0.007274
0.373528 1.00683950 0.004507
0.377323 1.01081811 0.003927
0.414026 1.00881631 0.006495
0.414060 1.01116452 0.005796
0.419824 1.01250283 0.004635
0.436160 1.01619166 0.007826
0.473309 1.01958881 0.003582
0.531163 1.01309940 0.005774
0.540037 1.01242600 0.007372
0.551728 1.01339146 0.003193
0.560521 1.01768456 0.003801
0.562194 1.01194236 0.006228
0.577636 1.01397293 0.004346
0.584731 1.01870498 0.004443
0.592079 1.01764914 0.004318
0.619188 1.01917270 0.004324
0.630620 1.02095260 0.005328
0.647093 1.01254344 0.006378
0.654215 1.02024467 0.004951
0.691412 1.01459446 0.007156
0.694712 1.01449294 0.004522
0.740571 1.01435625 0.003958
0.745967 1.02402579 0.007570
0.819734 1.01568668 0.005228
0.819825 1.02146205 0.006404
0.837510 1.02795424 0.007117
0.860766 1.01635093 0.004129
0.866908 1.02708997 0.003561
0.889988 1.01780309 0.007569
0.892164 1.01780562 0.005176
0.907044 1.02602852 0.007963
0.913429 1.03221668 0.007798
0.960502 1.02632614 0.003674
1.015311 1.02448807 0.005593
1.026869 1.02958514 0.005315
1.032761 1.02432165 0.005502
1.054214 1.02296108 0.006034
1.061475 1.02524587 0.003813
1.066564 1.02799084 0.005703
1.092888 1.02326204 0.007653
1.108173 1.02225182 0.003492
1.113148 1.02982066 0.003885
1.167046 1.02480415 0.004132
1.171135 1.01780049 0.004140
1.215509 1.02387551 0.004960
1.227314 1.03281211 0.006611
1.255991 1.02814715 0.005063
1.272409 1.03187705 0.003311
1.295339 1.02679505 0.004776
1.361141 1.02601744 0.004235
1.367356 1.03170324 0.005522
1.386416 1.03463764 0.004245
1.394734 1.03014155 0.007083
1.453770 1.02388087 0.007385
1.477646 1.03363605 0.004800
1.500159 1.02907052 0.004294
1.519416 1.03142862 0.005666
1.527479 1.02536125 0.007778
1.545970 1.02320918 0.005710
1.558856 1.02639319 0.006413
1.561478 1.02542689 0.003735
1.627842 1.02111046 0.005367
1.633257 1.02185840 0.007987
1.665748 1.02556495 0.005822
1.713692 1.01839870 0.007866
1.734480 1.02846614 0.007447
1.757529 1.01689530 0.006685
1.761741 1.03306753 0.004078
1.837105 1.02794388 0.003788
1.839866 1.02372647 0.007030
1.875764 1.03010683 0.005593
1.914221 1.02210952 0.003016
1.941741 1.01221937 0.003023
1.980865 1.02451477 0.003764
2.005004 1.02207375 0.003373
2.013540 1.01948864 0.003133
2.048653 1.01975262 0.005685
2.051872 0.98164120 0.006182
2.070456 1.01599859 0.007898
2.091172 1.02438474 0.005155
2.096658 1.02201395 0.007547
2.135040 1.02049921 0.007378
2.135249 1.02137384 0.003870
2.152382 1.01103723 0.003809
2.209046 1.01436219 0.007843
2.223055 1.01137511 0.006118
2.238065 1.00465363 0.003619
2.245494 1.01267137 0.003729
2.255126 1.01977436 0.003750
2.264532 1.01646565 0.003158
2.308430 1.01567611 0.007258
2.319854 1.01447744 0.007693
2.322157 1.01808318 0.004138
2.329183 1.01995043 0.004756
2.351265 1.01571331 0.007229
2.424744 1.01968709 0.004265
2.428699 1.01008226 0.006978
2.442885 1.00623062 0.007624
2.443192 1.00959681 0.007058
2.447258 1.06505145 0.003042
2.450051 1.01604095 0.007631
2.477062 1.00201023 0.003611
2.525144 1.00598827 0.004493
2.540094 1.01143637 0.004033
2.540688 1.01608229 0.003265
2.556930 1.00759540 0.007790
2.576761 1.01145045 0.004062
2.621114 1.01261010 0.004299
2.644258 1.01750163 0.006222
2.644801 0.99683275 0.007383
2.645530 1.01168378 0.007590
2.658001 1.00742500 0.006578
2.678998 1.00461332 0.007274
2.690944 1.00545767 0.007483
2.696083 1.00422866 0.007698
2.715103 0.99880565 0.006262
2.732451 1.00384507 0.004603
2.749953 1.00337199 0.007663
2.752835 1.00989218 0.006020
2.787448 0.99495989 0.005315
2.823636 1.01015485 0.003717
2.847699 1.01392829 0.004768
2.856654 1.01194824 0.005714
2.879081 0.99807228 0.005668
2.879343 1.00536816 0.006725
2.894436 1.00491598 0.004873
2.898729 1.00697845 0.003167
2.900241 1.00570628 0.003489
2.931310 0.99933734 0.005286
2.944153 0.99915787 0.004801
2.948760 1.00935784 0.004135
2.965924 1.00126402 0.004820
2.977000 1.00471104 0.003565
2.979185 1.00412583 0.007347
2.985737 1.01214120 0.007956
3.002238 1.00393296 0.004732
3.065610 1.01057313 0.003684
3.069404 1.00834362 0.003654
3.069856 0.99853271 0.006176
3.089900 1.01065240 0.006682
3.119831 1.00450978 0.006953
3.120607 1.00387508 0.005381
3.136386 1.01156866 0.004879
3.146803 0.99695839 0.006081
3.205597 1.00135894 0.004523
3.210206 1.00178458 0.006677
3.240729 1.00286188 0.006941
3.257996 1.00336539 0.005625
3.288354 0.99612018 0.003278
3.304699 1.00579586 0.004506
3.308749 1.00130512 0.005452
3.309329 0.99491797 0.004899
3.311681 0.99612653 0.003107
3.333165 1.00092867 0.007611
3.353664 0.99402512 0.003596
3.356890 1.00233599 0.005761
3.393825 1.00216088 0.004706
3.417359 1.00165686 0.004671
3.432266 0.99760624 0.007368
3.453935 0.99429593 0.004370
3.470078 1.00269097 0.004683
3.494668 0.99483856 0.004971
3.503090 0.99861232 0.003478
3.504483 0.99720814 0.007119
3.539058 0.99902605 0.005313
3.557210 0.99981932 0.003242
3.573718 1.00199224 0.003537
3.582067 1.00351126 0.004143
3.597370 0.99652296 0.003265
3.612584 0.99988844 0.004810
3.642006 1.00199103 0.004475
3.642162 0.99708814 0.005769
3.647246 0.99169446 0.003304
3.713878 0.99749260 0.004610
3.786428 0.99842220 0.007047
3.799469 1.00322822 0.007626
3.809015 0.99522211 0.003922
3.845117 0.99383780 0.005664
3.942873 1.00849364 0.004859
3.968399 1.00321112 0.005484
3.988257 0.99510325 0.003552
3.997027 1.00177464 0.005042
4.016561 0.99816862 0.007111
4.061234 0.99600564 0.005008
4.159580 0.99508315 0.004471
4.177711 1.00239154 0.006526
4.182592 1.00040268 0.006769
4.191516 0.99743650 0.005438
4.229187 0.99690601 0.004337
4.284089 0.99632576 0.007171
4.289727 0.99915439 0.003284
4.294246 0.99482490 0.004529
4.296119 0.99442371 0.004511
4.387471 0.99766295 0.004111
4.412328 1.00239483 0.004267
4.425427 1.00250619 0.004985
4.437855 0.99113377 0.004885
4.442165 0.99824621 0.007002
4.446241 1.01324000 0.005974
4.451363 0.99713804 0.003561
4.478909 0.99852056 0.007478
4.483844 1.00210191 0.003805
4.503048 0.99225360 0.004476
4.535319 0.99956036 0.004970
4.550486 0.99285142 0.007486
4.550509 0.99928247 0.007105
4.584010 1.00442642 0.006997
4.588318 1.00316232 0.007370
4.598922 0.99164243 0.007046
4.629646 1.00194975 0.006406
4.722246 0.99303922 0.004621
4.722716 0.98850131 0.006333
4.723421 0.99711123 0.003621
4.745144 0.99449616 0.004395
4.791211 0.99366483 0.006071
4.838204 1.00261662 0.004396
4.888961 0.99801831 0.006671
4.893928 0.99287012 0.003134
4.902446 0.99481933 0.007587
4.905109 0.99387698 0.005880
4.963523 1.00326685 0.007295
5.053674 0.99435652 0.006601
5.074169 0.98813631 0.004474
5.076859 1.00374057 0.003857
5.086024 0.99253540 0.004497
5.100190 0.99471993 0.005028
5.113332 1.00271920 0.003735
5.113862 0.98305667 0.003200
5.127480 0.99273034 0.004280
5.159145 0.98541326 0.004723
5.171863 0.98413001 0.005200
5.182157 0.98963295 0.004599
5.231009 0.97974566 0.004743
5.249780 0.99578619 0.007437
5.260285 0.99147547 0.003593
5.298811 0.99080405 0.006188
5.313230 0.98804708 0.007293
5.383395 0.98515497 0.003247
5.392142 0.98181923 0.007735
5.403703 0.98645112 0.004007
5.420758 0.98466050 0.007303
5.440476 0.98505480 0.004327
5.455917 0.99060776 0.003315
5.458764 0.98471579 0.007420
5.460044 0.98552630 0.005482
5.495093 0.98996056 0.007519
5.506298 0.98961752 0.006408
5.510054 0.90499259 0.005090
5.524644 0.99328563 0.003287
5.542121 0.98408001 0.004293
5.568571 0.99123024 0.004025
5.581435 0.98634321 0.003016
5.582193 0.98910071 0.005741
5.589831 0.99136248 0.005852
5.601490 0.98001578 0.006832
5.694913 0.98029858 0.005578
5.712907 0.98544224 0.005557
5.729428 0.98257789 0.007664
5.751651 0.98305580 0.005971
5.755813 0.98479218 0.003687
5.770425 0.99111685 0.003780
5.776038 0.97815089 0.005163
5.841076 0.97414364 0.004555
5.845792 0.97389425 0.005138
5.878276 0.97481420 0.005742
5.933642 0.97245757 0.005025
5.936745 0.98026951 0.005152
5.954490 0.97794563 0.004390
5.958578 0.97987641 0.006972
5.984885 0.97064241 0.005855
5.985482 0.98102402 0.005044
5.989892 0.97480146 0.004178
6.008675 0.97587618 0.007037
6.028144 0.87520311 0.006132
6.045123 0.95945124 0.004456
6.052788 0.97300344 0.007398
6.095430 0.97767885 0.004445
6.109145 0.97607314 0.004046
6.127714 0.97300537 0.003711
6.132679 0.97572658 0.003303
6.146895 0.96977176 0.005555
6.148658 0.97479539 0.007626
6.172223 0.97728617 0.005620
6.202156 0.97168314 0.004729
6.215452 0.98456129 0.005706
6.219763 0.97717322 0.005359
6.221140 0.97416911 0.003884
6.227105 0.97751816 0.006934
6.230881 0.98047782 0.004323
6.244068 0.97865104 0.004158
6.267398 0.97620065 0.004650
6.299351 0.97056767 0.004129
6.324855 0.97386909 0.005022
6.328305 0.97362726 0.004141
6.340232 0.97846547 0.005325
6.343210 0.97677514 0.004724
6.374415 0.97155767 0.003342
6.380234 0.98282089 0.005184
6.382191 0.96807394 0.003177
6.386665 0.97901775 0.006939
6.402406 0.97223379 0.005264
6.474105 0.97505913 0.007525
6.476710 0.97843236 0.005414
6.484478 0.97221781 0.004586
6.503090 0.96772905 0.005393
6.509112 0.97133281 0.003269
6.521375 0.97962015 0.003725
6.525263 0.97514285 0.004238
6.539123 0.97516094 0.007609
6.545829 0.96550099 0.005002
6.557878 0.97703792 0.006160
6.608787 0.96998371 0.004919
6.631538 0.97149794 0.003210
6.638076 0.97162270 0.007409
6.663712 0.97312931 0.007097
6.675892 0.97904549 0.004259
6.685134 0.98093346 0.004077
6.688153 0.96604949 0.004876
6.749067 0.97354097 0.007521
6.768067 0.97832828 0.004227
6.781257 0.97651124 0.004211
6.793124 0.98207478 0.004339
6.800909 0.98172513 0.006959
6.835729 0.97433585 0.005721
6.864678 0.98241977 0.006991
6.875355 0.98137721 0.005734
6.898548 0.98148265 0.007861
6.907179 0.98570608 0.006897
6.926788 0.96654596 0.005792
6.928965 0.97219997 0.005946
6.947150 0.96858911 0.005668
6.962330 0.97688589 0.007682
