# Star 3 - Telescope kepler - Campaign 3
# Time Flux Error
# days relative_flux relative_error
0.008497 0.99857537 0.003384
0.019536 0.99596616 0.003035
0.030810 0.99041457 0.006975
0.033109 1.00384581 0.003172
0.077351 1.00534174 0.007983
0.132336 0.99978669 0.003402
0.138996 1.01271585 0.007537
0.139209 0.99855599 0.006235
0.172736 1.00263370 0.003964
0.204724 1.00257115 0.007576
0.252026 1.01124228 0.004864
0.253753 1.00932342 0.007344
0.277958 1.01018665 0.006490
0.321249 1.00988298 0.003097
0.332332 1.01029459 0.004555
0.338672 1.01990025 0.003591
0.340304 1.01436764 0.005701
0.355857 1.01220175 0.005299
0.363802 1.01049697 0.003794
0.374474 1.02080163 0.003429
0.376172 1.01663892 0.004591
0.379004 1.00177203 0.003538
0.386644 1.00057322 0.007317
0.400814 1.01446685 0.007512
0.444594 1.01624928 0.006416
0.472927 0.97342597 0.004293
0.490687 1.01490471 0.007144
0.521494 1.01099031 0.003013
0.551944 1.01117971 0.007992
0.601033 1.01680603 0.007973
0.622794 1.01495727 0.003566
0.631892 1.01766838 0.003871
0.644045 1.02135362 0.005517
0.647278 1.02213005 0.004435
0.648208 1.01664182 0.005487
0.667745 1.01135703 0.005400
0.690668 1.02664353 0.005003
0.694058 1.01867000 0.003315
0.714312 1.01869571 0.004138
0.720773 1.02245318 0.005127
0.772883 1.02000280 0.005193
0.818318 1.01474164 0.004164
0.842094 1.01454413 0.003449
0.872738 1.02136893 0.006320
0.893216 1.02952327 0.004234
0.893995 1.02782897 0.003389
0.900407 1.02474012 0.007754
0.901111 1.03084882 0.007787
0.912311 1.02451934 0.007438
0.913843 1.02137149 0.003324
0.927245 1.02512709 0.004951
0.935123 1.02534512 0.005967
0.984587 1.02932082 0.005231
0.994216 1.02882412 0.006903
1.006302 1.02026559 0.007891
1.021601 1.02119826 0.005747
1.027442 1.02222177 0.003965
1.038609 1.02509727 0.004390
1.050789 1.01874849 0.005140
1.078089 1.02461598 0.006240
1.092536 1.02376117 0.003314
1.099636 1.02884960 0.005835
1.116437 1.02656939 0.006094
1.132583 1.03323328 0.007951
1.137703 1.02436143 0.006753
1.161542 1.02717049 0.007150
1.175765 1.02330005 0.003976
1.178686 1.02939329 0.005418
1.210660 1.01793916 0.007324
1.224227 1.02570817 0.006356
1.292697 1.02435430 0.005769
1.296818 1.02717717 0.006583
1.314867 1.02973931 0.005663
