# Time (days)	Flux	Error
0.000000	1.000327	0.001383
0.083333	1.006822	0.001009
0.166667	1.000594	0.002128
0.250000	1.012005	0.002553
0.333333	1.007523	0.001788
0.416667	1.015008	0.002970
0.500000	1.022259	0.002580
0.583333	1.020900	0.002387
0.666667	1.032803	0.001138
0.750000	1.030974	0.002384
0.833333	1.025093	0.002268
0.916667	1.021797	0.002870
1.000000	1.022184	0.002059
1.083333	1.018516	0.002615
1.166667	1.019242	0.002944
1.250000	1.008643	0.001894
1.333333	1.002205	0.002473
1.416667	1.005726	0.002673
1.500000	1.006384	0.001617
1.583333	1.001354	0.002908
1.666667	0.992170	0.001891
1.750000	0.988213	0.002676
1.833333	0.982756	0.002556
1.916667	0.989148	0.002715
2.000000	0.980756	0.002640
2.083333	0.974535	0.001936
2.166667	0.976279	0.002198
2.250000	0.972440	0.002341
2.333333	0.970957	0.002665
2.416667	0.980202	0.001054
2.500000	0.961711	0.002071
2.583333	0.967386	0.001244
2.666667	0.974295	0.001298
2.750000	0.974698	0.001053
2.833333	0.976701	0.001913
2.916667	0.978279	0.001850
3.000000	0.984547	0.002990
3.083333	0.988707	0.002679
3.166667	1.003175	0.002336
3.250000	0.998251	0.002308
3.333333	1.007044	0.001713
3.416667	1.019494	0.002388
3.500000	1.020853	0.001700
3.583333	1.034132	0.001730
3.666667	1.032799	0.001859
3.750000	1.030082	0.002458
3.833333	1.041012	0.001241
3.916667	1.036627	0.002489
4.000000	1.034766	0.001942
4.083333	1.028882	0.002632
4.166667	1.037723	0.001950
4.250000	1.034568	0.002194
4.333333	1.019999	0.002712
4.416667	1.012454	0.002942
4.500000	1.011323	0.002130
4.583333	1.013031	0.002178
4.666667	1.007723	0.002899
4.750000	0.993854	0.002982
4.833333	0.993236	0.002385
4.916667	0.994754	0.001637
5.000000	0.989348	0.001700
5.083333	0.991839	0.001151
5.166667	0.976914	0.002869
5.250000	0.979573	0.001410
5.333333	0.987110	0.002866
5.416667	0.972653	0.002701
5.500000	0.967548	0.001963
5.583333	0.964048	0.001025
5.666667	0.961014	0.001013
5.750000	0.966300	0.001420
5.833333	0.965029	0.001527
5.916667	0.962187	0.002113
6.000000	0.963541	0.001030
6.083333	0.969411	0.001861
6.166667	0.983638	0.002174
6.250000	0.989703	0.001142
6.333333	0.993620	0.002247
6.416667	1.003447	0.001197
6.500000	1.010193	0.002264
6.583333	1.023363	0.002434
6.666667	1.031802	0.002901
6.750000	1.039459	0.001906
6.833333	1.035872	0.001462
6.916667	1.035783	0.001347
7.000000	1.039269	0.002820
7.083333	1.034033	0.001646
7.166667	1.038450	0.001337
7.250000	1.031590	0.001146
7.333333	1.036317	0.001617
7.416667	1.034860	0.001213
7.500000	1.017321	0.001954
7.583333	1.025030	0.002114
7.666667	1.010539	0.002581
7.750000	1.001967	0.001117
7.833333	1.000178	0.001849
7.916667	1.001608	0.002525
8.000000	0.995369	0.002440
8.083333	1.003762	0.001928
8.166667	0.991834	0.002826
8.250000	0.987982	0.001678
8.333333	0.993595	0.001426
8.416667	0.976755	0.001081
8.500000	0.982241	0.001747
8.583333	0.965719	0.001740
8.666667	0.956996	0.002607
8.750000	0.972051	0.001914
8.833333	0.966211	0.002500
8.916667	0.964584	0.001133
9.000000	0.960614	0.002914
9.083333	0.965038	0.002100
9.166667	0.962520	0.002666
9.250000	0.974450	0.002906
9.333333	0.966481	0.002744
9.416667	0.970053	0.001982
9.500000	0.997816	0.002145
9.583333	0.997432	0.002974
9.666667	1.000402	0.002110
9.750000	1.022808	0.001866
9.833333	1.015451	0.002937
9.916667	1.027932	0.002740
10.000000	1.037933	0.001720
10.083333	1.042067	0.001399
10.166667	1.046103	0.001042
10.250000	1.043657	0.002227
10.333333	1.036087	0.002358
10.416667	1.030356	0.001418
10.500000	1.016099	0.001398
10.583333	1.029602	0.002893
10.666667	1.025857	0.001992
10.750000	1.019648	0.001496
10.833333	1.022519	0.002028
10.916667	1.014501	0.001967
11.000000	1.017471	0.001913
11.083333	1.005269	0.002771
11.166667	1.005277	0.001909
11.250000	1.000529	0.002113
11.333333	0.989041	0.002655
11.416667	0.990501	0.002564
11.500000	0.989592	0.001667
11.583333	0.993185	0.001525
11.666667	0.984046	0.001823
11.750000	0.979769	0.002251
11.833333	0.970229	0.001340
11.916667	0.959905	0.001945
12.000000	0.970224	0.001565
12.083333	0.968734	0.001552
12.166667	0.963491	0.001078
12.250000	0.965366	0.002281
12.333333	0.979462	0.002572
12.416667	0.976002	0.002426
12.500000	0.976336	0.001689
12.583333	0.974351	0.002121
12.666667	1.000479	0.002160
12.750000	0.998087	0.001103
12.833333	1.000601	0.001572
12.916667	1.011337	0.001796
13.000000	1.012025	0.001220
13.083333	1.022709	0.002507
13.166667	1.019261	0.001420
13.250000	1.031285	0.001673
13.333333	1.021929	0.001242
13.416667	1.032343	0.001840
13.500000	1.034092	0.001141
13.583333	1.029374	0.001492
13.666667	1.033629	0.001422
13.750000	1.038407	0.001497
13.833333	1.020487	0.001732
13.916667	1.037908	0.002432
14.000000	1.000114	0.001182
14.083333	1.024511	0.002999
14.166667	1.014892	0.001255
14.250000	1.003446	0.001437
14.333333	1.006315	0.002625
14.416667	0.997255	0.002646
14.500000	0.994007	0.002628
14.583333	0.992238	0.001683
14.666667	0.989581	0.002883
14.750000	0.980283	0.001571
14.833333	0.985552	0.002898
14.916667	0.994621	0.001444
15.000000	0.976335	0.001912
15.083333	0.975227	0.002341
15.166667	0.962880	0.001886
15.250000	0.971320	0.001487
15.333333	0.968703	0.002496
15.416667	0.980335	0.001577
15.500000	0.985579	0.002994
15.583333	0.985672	0.001823
15.666667	0.976466	0.001407
15.750000	0.987397	0.002793
15.833333	0.994794	0.001780
15.916667	0.999616	0.001491
16.000000	1.004307	0.001846
16.083333	1.009014	0.002792
16.166667	1.016238	0.002365
16.250000	1.014240	0.002925
16.333333	1.020884	0.002099
16.416667	1.018047	0.002830
16.500000	1.022668	0.001368
16.583333	1.020314	0.001488
16.666667	1.018964	0.001407
16.750000	1.028319	0.001131
16.833333	1.017063	0.001252
16.916667	1.018445	0.002275
17.000000	1.024956	0.001117
17.083333	1.026224	0.002674
17.166667	1.019959	0.002883
17.250000	1.011246	0.001260
17.333333	1.013218	0.002890
17.416667	0.998747	0.001995
17.500000	1.009926	0.002231
17.583333	1.001837	0.002903
17.666667	1.005306	0.002353
17.750000	1.000162	0.002966
17.833333	0.989513	0.001681
17.916667	0.980652	0.001139
18.000000	0.990979	0.002301
18.083333	0.969486	0.002117
18.166667	0.975477	0.002530
18.250000	0.981818	0.001320
18.333333	0.983282	0.001549
18.416667	0.987742	0.002418
18.500000	0.974623	0.002712
18.583333	0.989925	0.002382
18.666667	0.987854	0.002185
18.750000	0.996450	0.002807
18.833333	0.991863	0.001213
18.916667	0.994314	0.002684
19.000000	0.997295	0.002312
19.083333	0.996374	0.001611
