# Time (days)	Flux	Error
0.000000	0.949954	0.001809
0.020417	0.944733	0.002155
0.040833	0.960969	0.002265
0.061250	0.961358	0.002728
0.081667	0.962931	0.001058
0.102083	0.970315	0.001613
0.122500	0.974699	0.001782
0.142917	1.000778	0.002507
0.163333	0.999288	0.002546
0.183750	0.998269	0.001921
0.204167	1.003543	0.002943
0.224583	1.000862	0.002300
0.245000	1.000557	0.001351
0.265417	1.006789	0.002094
0.285833	0.993803	0.002281
0.306250	1.005009	0.002541
0.326667	1.001278	0.001268
0.347083	0.997283	0.001507
0.367500	0.998943	0.002770
0.387917	0.996759	0.001159
0.408333	1.000074	0.001233
0.428750	1.001045	0.002809
0.449167	1.001393	0.001739
0.469583	0.993055	0.002915
0.490000	1.005322	0.002421
0.510417	1.002193	0.001612
0.530833	1.000924	0.002256
0.551250	1.007131	0.001183
0.571667	0.996521	0.002291
0.592083	0.996585	0.001717
0.612500	1.004311	0.001845
0.632917	1.000478	0.002911
0.653333	0.996353	0.001442
0.673750	0.997693	0.002720
0.694167	0.998213	0.002783
0.714583	1.004751	0.001325
0.735000	1.004982	0.002426
0.755417	0.997439	0.001175
0.775833	0.999981	0.001799
0.796250	1.002771	0.002396
0.816667	0.997927	0.001089
0.837083	1.005435	0.002144
0.857500	1.002050	0.001768
0.877917	1.004821	0.001676
0.898333	0.998349	0.002844
0.918750	0.995317	0.001633
0.939167	0.998998	0.001926
0.959583	0.998666	0.002427
0.980000	0.999881	0.001104
1.000417	1.000763	0.001219
1.020833	1.004470	0.002956
1.041250	0.995659	0.001179
1.061667	1.003269	0.001412
1.082083	1.000757	0.001480
1.102500	0.993042	0.002120
1.122917	1.004919	0.001288
1.143333	1.003025	0.002630
1.163750	1.001935	0.001035
1.184167	1.001406	0.001981
1.204583	1.000831	0.002406
1.225000	0.995521	0.002294
1.245417	0.993752	0.001390
1.265833	0.999504	0.002359
1.286250	1.001704	0.002879
1.306667	0.998351	0.002923
1.327083	0.989361	0.001917
1.347500	0.984773	0.002996
