# Time (days)	Flux	Error
0.000000	0.988021	0.001126
0.031250	1.006311	0.002424
0.062500	1.026052	0.001444
0.093750	1.048241	0.001796
0.125000	1.049812	0.002410
0.156250	1.032999	0.001047
0.187500	1.022225	0.002883
0.218750	1.016324	0.001288
0.250000	1.024098	0.001335
0.281250	1.028191	0.001063
0.312500	1.011687	0.001591
0.343750	1.013241	0.002431
0.375000	0.999060	0.002004
0.406250	0.999333	0.002958
0.437500	0.992613	0.002533
0.468750	0.985964	0.002684
0.500000	0.985389	0.001406
0.531250	0.977024	0.001431
0.562500	0.992000	0.001157
0.593750	0.981677	0.002066
0.625000	0.981643	0.002102
0.656250	0.972199	0.002714
0.687500	0.957302	0.002266
0.718750	0.955131	0.002476
0.750000	0.975740	0.002070
0.781250	0.968497	0.001961
0.812500	1.011991	0.001089
0.843750	1.020068	0.002721
0.875000	1.034265	0.002706
0.906250	1.041877	0.002137
0.937500	1.041069	0.002708
0.968750	1.023896	0.002724
1.000000	1.020341	0.001339
1.031250	1.008729	0.002333
1.062500	1.013341	0.001139
1.093750	1.013447	0.001607
1.125000	1.013685	0.002438
1.156250	1.001307	0.001416
1.187500	1.006151	0.002317
1.218750	0.997462	0.001825
1.250000	0.991655	0.001938
1.281250	0.986624	0.002922
1.312500	0.981212	0.002346
1.343750	0.992580	0.002503
1.375000	0.974885	0.001291
1.406250	0.988888	0.001438
1.437500	0.969311	0.002076
1.468750	0.969457	0.001889
1.500000	0.971181	0.001487
1.531250	0.959490	0.002936
1.562500	0.985803	0.001878
1.593750	0.999007	0.002197
1.625000	1.017874	0.002527
1.656250	1.035952	0.001543
1.687500	1.034334	0.001972
1.718750	1.033444	0.002386
1.750000	1.037470	0.001286
1.781250	1.028897	0.002214
1.812500	1.016925	0.002781
1.843750	1.011381	0.002426
1.875000	1.022675	0.001271
1.906250	1.017713	0.002944
1.937500	1.008848	0.001557
1.968750	1.009665	0.002337
2.000000	1.005018	0.002429
2.031250	0.992074	0.001428
2.062500	0.983035	0.002490
2.093750	0.993825	0.002154
2.125000	0.995484	0.002872
2.156250	1.000917	0.001909
2.187500	0.986551	0.001814
2.218750	0.978660	0.001576
2.250000	0.968368	0.001901
2.281250	0.952068	0.001689
2.312500	0.955641	0.002500
2.343750	0.975296	0.001176
2.375000	0.993796	0.001989
2.406250	1.005546	0.001095
2.437500	1.029889	0.001868
2.468750	1.041545	0.002980
2.500000	1.045447	0.001849
2.531250	1.049076	0.001183
2.562500	1.036756	0.002182
2.593750	1.039605	0.001355
2.625000	1.010423	0.002315
2.656250	1.003023	0.001903
2.687500	1.018548	0.001249
2.718750	1.018990	0.002038
2.750000	1.013475	0.002786
2.781250	1.008803	0.001905
2.812500	1.003187	0.002174
2.843750	0.989990	0.001806
2.875000	0.981204	0.001206
2.906250	0.983512	0.001850
2.937500	0.988998	0.002627
2.968750	0.990500	0.002006
3.000000	0.997382	0.002694
3.031250	0.960168	0.002378
3.062500	0.962051	0.001894
3.093750	0.962398	0.002779
3.125000	0.952343	0.002677
3.156250	0.974281	0.002841
3.187500	0.983935	0.002339
3.218750	1.004813	0.001353
3.250000	1.030377	0.001006
3.281250	1.045700	0.001976
3.312500	1.051294	0.001952
3.343750	1.034327	0.001679
3.375000	1.019778	0.001497
3.406250	1.018972	0.001103
3.437500	1.018115	0.002544
3.468750	1.023362	0.001881
3.500000	1.014553	0.001291
3.531250	1.005263	0.002335
3.562500	1.006794	0.001982
3.593750	0.993994	0.001331
3.625000	0.992125	0.001606
3.656250	0.974820	0.001483
