# Time (days)	Flux	Error
-0.001001	1.021528	0.001394
0.015105	1.069931	0.001277
0.028360	1.011564	0.001531
0.037906	1.056498	0.001315
0.051437	1.060773	0.001557
0.064457	1.032614	0.001294
0.082572	1.066368	0.001261
0.093559	1.034468	0.001546
0.106721	1.055144	0.001422
0.120881	1.036171	0.001372
0.132204	1.006237	0.001529
0.146597	1.002745	0.001447
0.158608	1.035972	0.001705
0.174343	0.999158	0.001567
0.185615	1.020545	0.001336
0.200714	1.009658	0.001227
0.214996	1.010670	0.001360
0.226774	0.968832	0.001546
0.241381	1.007379	0.001650
0.252015	0.970297	0.001796
0.265389	0.990719	0.001581
0.280619	0.989326	0.001644
0.293391	0.980875	0.001773
0.305141	0.995060	0.001623
0.319728	0.964127	0.001570
0.335324	0.986539	0.001586
0.346129	0.967237	0.001492
0.360453	0.964676	0.001442
0.373246	0.998481	0.001466
0.387374	0.960893	0.001604
0.400931	0.961955	0.001704
0.414603	0.973745	0.001289
0.427857	0.998853	0.001395
0.441613	0.964651	0.001675
0.454429	0.953523	0.001247
0.467471	0.966075	0.001232
0.479873	0.972974	0.001635
0.489808	0.968931	0.001391
0.506729	0.955360	0.001476
0.519544	0.956637	0.001432
0.533016	0.960697	0.001620
0.544986	0.978819	0.001328
0.561653	0.999370	0.001730
0.571515	0.953938	0.001431
0.587908	1.001225	0.001767
0.600384	0.965050	0.001786
0.614624	0.972255	0.001331
0.628557	0.967637	0.001595
0.643424	1.011101	0.001320
0.655923	0.979528	0.001756
0.668855	1.027289	0.001383
0.682719	0.984828	0.001328
0.694205	0.969472	0.001500
0.707610	0.976756	0.001588
0.720197	0.983438	0.001618
0.734588	0.982234	0.001769
0.749020	1.001060	0.001350
0.760859	0.989796	0.001525
0.774232	1.009159	0.001631
0.786731	1.000965	0.001797
0.803058	1.023814	0.001536
0.814305	1.000744	0.001424
0.828378	0.979887	0.001583
0.840713	0.955881	0.001577
0.854944	0.981346	0.001449
0.865249	0.997061	0.001288
0.881202	0.979510	0.001541
0.893550	1.025284	0.001570
0.909467	0.996078	0.001484
0.922106	0.984139	0.001750
0.934046	0.979450	0.001686
0.946803	1.002521	0.001323
0.959859	1.026706	0.001384
0.975215	1.005200	0.001321
0.986891	1.003680	0.001484
1.003434	0.994088	0.001478
1.013110	1.024992	0.001727
1.026980	0.996389	0.001450
1.039862	1.009430	0.001235
1.052614	1.009631	0.001685
1.068429	1.000649	0.001328
1.080176	1.010199	0.001664
1.096150	1.045127	0.001584
1.107997	1.005319	0.001794
1.118774	1.022713	0.001459
1.133499	1.025295	0.001683
1.147925	1.000580	0.001491
1.162992	1.041487	0.001329
1.173987	0.990322	0.001645
1.187600	1.003740	0.001723
1.199322	1.042710	0.001684
1.216371	1.024634	0.001609
1.225083	1.051448	0.001213
1.241738	1.018451	0.001722
1.254719	1.028166	0.001450
1.268516	1.009161	0.001319
1.282288	1.070107	0.001616
1.296209	1.004660	0.001640
1.308197	1.016876	0.001436
1.319198	1.067806	0.001390
1.336952	1.004390	0.001761
1.347373	1.063895	0.001219
1.362756	1.052339	0.001549
1.374507	1.044739	0.001398
1.389251	0.997239	0.001593
1.401542	1.053269	0.001480
1.414377	1.039916	0.001748
1.429466	1.029780	0.001734
1.438294	1.043289	0.001689
1.454508	1.026372	0.001757
1.468346	1.008859	0.001704
1.482144	1.030646	0.001424
1.494231	1.000235	0.001381
1.505780	1.015558	0.001617
1.522138	1.014823	0.001465
1.533469	1.024460	0.001581
1.549232	1.003961	0.001596
1.562241	0.994176	0.001351
1.575060	1.002376	0.001336
1.590484	1.019111	0.001492
1.603367	1.036945	0.001278
1.613764	0.992029	0.001607
1.626091	0.983942	0.001388
1.643687	1.026368	0.001308
1.658247	0.972203	0.001666
1.667562	0.972517	0.001481
1.682280	0.975484	0.001221
1.693957	1.003399	0.001783
1.707696	0.951995	0.001216
1.725871	0.967851	0.001790
1.735866	0.984292	0.001499
1.748753	0.962997	0.001220
1.762192	0.981179	0.001270
1.773684	1.009425	0.001289
1.789202	0.938641	0.001368
1.804538	0.963602	0.001350
1.817377	0.973380	0.001727
1.828088	0.976796	0.001629
1.840927	0.967202	0.001787
1.856359	0.950828	0.001259
1.868861	0.950521	0.001676
1.882006	0.957785	0.001232
1.894500	0.985887	0.001515
1.909949	0.980325	0.001357
1.922286	0.994911	0.001217
1.935503	0.979084	0.001558
1.948942	0.980976	0.001695
1.962795	0.990018	0.001678
1.974261	1.012733	0.001242
1.987539	0.956675	0.001721
1.998894	0.981605	0.001238
2.016083	1.002159	0.001433
2.031550	0.971702	0.001443
2.043730	1.003102	0.001589
2.055665	0.998338	0.001590
2.067528	1.010965	0.001350
2.081893	0.966530	0.001438
2.094876	0.949769	0.001839
2.109545	0.990284	0.001522
2.122073	0.966553	0.001648
2.136360	0.994789	0.001698
2.148572	1.003755	0.001473
2.160659	0.974288	0.001471
2.178098	0.980017	0.001482
2.187370	1.000909	0.001520
2.200858	0.985648	0.001227
2.214874	0.984756	0.001587
2.228467	0.983840	0.001804
2.243615	0.997337	0.001713
2.256437	0.997082	0.001532
2.268647	0.979202	0.001585
2.283289	1.013695	0.001618
2.298942	1.016275	0.001601
2.309841	0.984013	0.001453
2.322987	0.996323	0.001552
2.336991	1.000584	0.001724
2.348192	1.008772	0.001458
2.366475	0.997654	0.001644
2.378119	1.024653	0.001436
2.388682	1.042905	0.001417
2.403539	0.989478	0.001552
2.413343	0.997410	0.001562
2.429926	1.021362	0.001733
2.442843	0.998291	0.001673
2.456699	0.983231	0.001276
2.468668	1.016464	0.001791
2.484335	1.024588	0.001236
2.494976	1.016980	0.001726
2.511179	1.002582	0.001352
2.522379	1.026680	0.001441
2.533806	1.063141	0.001289
2.548964	1.022291	0.001351
2.565361	1.011385	0.001779
2.574145	1.036453	0.001563
2.588238	1.036502	0.001316
2.603452	1.002021	0.001282
2.615039	1.046789	0.001623
2.629115	1.038306	0.001319
2.641992	1.061516	0.001427
2.657267	1.069996	0.001503
2.669424	0.990426	0.001489
2.684716	1.052441	0.001644
2.694283	1.034951	0.001434
2.711723	1.031467	0.001320
2.724191	1.012763	0.001330
2.736745	1.026849	0.001361
2.750374	1.035809	0.001372
2.762535	1.014315	0.001302
2.775262	1.057132	0.001369
2.792189	1.012909	0.001340
2.803069	1.007096	0.001719
2.815018	0.992392	0.001221
2.830517	1.023042	0.001773
2.843586	0.993771	0.001767
