# Time (days)	Flux	Error
-0.000932	1.035774	0.001283
0.013362	1.033122	0.001540
0.025433	1.005593	0.001393
0.040482	1.027780	0.001402
0.053811	1.007220	0.001506
0.066202	0.993484	0.001366
0.076575	1.009408	0.001299
0.093704	1.027433	0.001401
0.106239	0.987208	0.001606
0.123714	0.959805	0.001285
0.132299	1.012723	0.001704
0.146287	1.002171	0.001706
0.160309	0.967011	0.001336
0.175116	0.970096	0.001455
0.188433	1.006414	0.001607
0.200442	0.996945	0.001278
0.212909	0.952261	0.001569
0.225806	0.945799	0.001607
0.240007	1.002234	0.001356
0.254186	0.996844	0.001679
0.263797	0.963020	0.001266
0.279801	0.980107	0.001502
0.293216	0.987143	0.001342
0.308194	0.973225	0.001643
0.319809	1.007282	0.001513
0.333562	1.000000	0.001557
0.347387	0.969532	0.001457
0.360117	1.012034	0.001739
0.373073	1.042547	0.001340
0.390791	1.029141	0.001395
0.400517	1.033099	0.001728
0.412496	1.039541	0.001586
0.428376	1.005770	0.001411
0.438778	1.024756	0.001738
0.452778	1.058662	0.001534
0.466598	1.008982	0.001305
0.478820	1.031763	0.001423
0.493808	1.031479	0.001581
0.506540	1.031705	0.001266
0.520189	1.000654	0.001746
0.533880	1.040348	0.001221
0.548290	1.025136	0.001511
0.559465	1.026496	0.001742
0.574775	1.020997	0.001469
0.586408	1.000573	0.001458
0.599635	0.990339	0.001646
0.613398	1.011091	0.001761
0.625877	1.023289	0.001654
0.639521	0.998207	0.001465
0.654446	1.011721	0.001327
0.667903	1.019802	0.001291
0.681383	1.001021	0.001678
0.694493	0.967836	0.001764
0.709137	0.997243	0.001691
0.720833	0.996152	0.001415
0.733397	0.974031	0.001276
0.745726	0.967635	0.001285
0.759251	0.975804	0.001228
0.775728	0.972787	0.001300
0.788030	0.958944	0.001736
0.800903	0.962783	0.001645
0.811845	0.969424	0.001809
0.827212	0.967454	0.001639
0.842556	0.957464	0.001821
0.856461	0.981983	0.001255
